Date,High,Low,Open,Close,Volume,Adj Close
2017-11-13,81.5199966430664,80.61000061035156,81.23999786376953,80.66999816894531,2568500.0,65.27145385742188
2017-11-14,81.58999633789062,80.48999786376953,80.55000305175781,81.37000274658203,3108700.0,65.83782958984375
2017-11-15,81.69000244140625,80.0,80.88999938964844,81.4800033569336,3122000.0,65.92681884765625
2017-11-16,82.61000061035156,81.20999908447266,81.30999755859375,82.12000274658203,4322600.0,66.44468688964844
2017-11-17,82.91999816894531,81.75,81.8499984741211,82.87999725341797,2897400.0,67.0595932006836
2017-11-20,82.26000213623047,81.4800033569336,82.26000213623047,82.08999633789062,3163600.0,66.98614501953125
2017-11-21,84.0,82.1500015258789,82.23999786376953,83.80000305175781,3528000.0,68.38152313232422
2017-11-22,83.91000366210938,82.30999755859375,83.91000366210938,82.3499984741211,3271500.0,67.19831848144531
2017-11-24,82.8499984741211,82.05999755859375,82.68000030517578,82.25,1623400.0,67.11670684814453
2017-11-27,82.3499984741211,81.58999633789062,82.22000122070312,82.12000274658203,3073500.0,67.01065826416016
2017-11-28,83.47000122070312,81.83999633789062,82.33000183105469,83.23999786376953,3015300.0,67.92456817626953
2017-11-29,83.6500015258789,82.5,83.19000244140625,83.33999633789062,2752900.0,68.00617980957031
2017-11-30,85.86000061035156,83.36000061035156,83.83000183105469,85.62000274658203,5521800.0,69.86666870117188
2017-12-01,85.77999877929688,82.5199966430664,85.37000274658203,84.16999816894531,4123200.0,68.68345642089844
2017-12-04,85.43000030517578,83.5,84.55999755859375,83.62999725341797,4049400.0,68.24281311035156
2017-12-05,86.41999816894531,83.91000366210938,83.91000366210938,85.77999877929688,4197300.0,69.99722290039062
2017-12-06,85.97000122070312,84.56999969482422,85.4800033569336,84.97000122070312,2975900.0,69.33625030517578
2017-12-07,85.68000030517578,84.6500015258789,84.79000091552734,85.58999633789062,2128800.0,69.8421859741211
2017-12-08,87.7300033569336,85.95999908447266,86.2699966430664,87.5999984741211,3533300.0,71.48238372802734
2017-12-11,88.12000274658203,86.87000274658203,87.16999816894531,87.19999694824219,2853800.0,71.15595245361328
2017-12-12,87.69999694824219,86.80000305175781,87.4000015258789,86.94000244140625,2515000.0,70.94380187988281
